0,1,2,3,4
2023 National League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 National League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 National League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 National League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 National League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →
Statistic,Name,Team,#,Top 25
Complete Games,Sandy Alcantara,Miami Marlins,3,Top 25
ERA,Blake Snell,San Diego Padres,2.25,Top 25
Games,Miguel Castro,Arizona Diamondbacks,75,Top 25
Saves,David Bednar,Pittsburgh Pirates,39,Top 25
Saves,Camilo Doval,San Francisco Giants,39,Top 25
Shutouts,Sandy Alcantara,Miami Marlins,1,Top 25
Shutouts,Alex Cobb,San Francisco Giants,1,Top 25
Shutouts,Max Fried,Atlanta Braves,1,Top 25
Shutouts,Zac Gallen,Arizona Diamondbacks,1,Top 25
Shutouts,Mitch Keller,Pittsburgh Pirates,1,Top 25
Shutouts,Michael Lorenzen,Philadelphia Phillies,1,Top 25
Shutouts,Johan Oviedo,Pittsburgh Pirates,1,Top 25
Shutouts,Marcus Stroman,Chicago Cubs,1,Top 25
Shutouts,Logan Webb,San Francisco Giants,1,Top 25
Shutouts,Brandon Woodruff,Milwaukee Brewers,1,Top 25
Strikeouts,Spencer Strider,Atlanta Braves,281,Top 25
Winning Percentage,Spencer Strider,Atlanta Braves,.800,Top 25
Wins,Spencer Strider,Atlanta Braves,20,Top 25
Statistic,Name,Team,#,Top 25
2023 N.L. History | 2023 A.L. History | Year-by-Year History,2023 N.L. History | 2023 A.L. History | Year-by-Year History,2023 N.L. History | 2023 A.L. History | Year-by-Year History,2023 N.L. History | 2023 A.L. History | Year-by-Year History,2023 N.L. History | 2023 A.L. History | Year-by-Year History
