0,1,2,3,4
2024 National League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 National League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 National League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 National League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 National League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →
Statistic,Name,Team,#,Top 25
Complete Games,Max Fried,Atlanta,2,Top 25
Complete Games,Cristopher Sánchez,Philadelphia,2,Top 25
ERA,Chris Sale,Atlanta,2.38,Top 25
Games,Tyler Rogers,San Francisco,77,Top 25
Saves,Ryan Helsley,St. Louis,49,Top 25
Shutouts,Dylan Cease,San Diego,1,Top 25
Shutouts,Max Fried,Atlanta,1,Top 25
Shutouts,Braxton Garrett,Miami,1,Top 25
Shutouts,Aaron Nola,Philadelphia,1,Top 25
Shutouts,Tyler Phillips,Philadelphia,1,Top 25
Shutouts,Luis Severino,New York,1,Top 25
Shutouts,Blake Snell,San Francisco,1,Top 25
Shutouts,Gavin Stone,Los Angeles,1,Top 25
Shutouts,Ranger Suárez,Philadelphia,1,Top 25
Shutouts,Cristopher Sánchez,Philadelphia,1,Top 25
Shutouts,Logan Webb,San Francisco,1,Top 25
Strikeouts,Chris Sale,Atlanta,225,Top 25
Winning Percentage,Chris Sale,Atlanta,.857,Top 25
Wins,Chris Sale,Atlanta,18,Top 25
Statistic,Name,Team,#,Top 25
2024 N.L. History | 2024 A.L. History | Year-by-Year History,2024 N.L. History | 2024 A.L. History | Year-by-Year History,2024 N.L. History | 2024 A.L. History | Year-by-Year History,2024 N.L. History | 2024 A.L. History | Year-by-Year History,2024 N.L. History | 2024 A.L. History | Year-by-Year History
