0,1,2,3,4
2021 National League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 National League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 National League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 National League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 National League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →
Statistic,Name,Team,#,Top 25
Complete Games,German Marquez,Colorado Rockies,3,Top 25
Complete Games,Adam Wainwright,St. Louis Cardinals,3,Top 25
Complete Games,Zack Wheeler,Philadelphia Phillies,3,Top 25
ERA,Corbin Burnes,Milwaukee Brewers,2.43,Top 25
Games,Tyler Rogers,San Francisco Giants,80,Top 25
Saves,Mark Melancon,San Diego Padres,39,Top 25
Shutouts,Anthony DeSclafani,San Francisco Giants,2,Top 25
Shutouts,Max Fried,Atlanta Braves,2,Top 25
Shutouts,Joe Musgrove,San Diego Padres,2,Top 25
Shutouts,Zack Wheeler,Philadelphia Phillies,2,Top 25
Strikeouts,Zack Wheeler,Philadelphia Phillies,247,Top 25
Winning Percentage,Julio Urias,Los Angeles Dodgers,.870,Top 25
Wins,Julio Urias,Los Angeles Dodgers,20,Top 25
Statistic,Name,Team,#,Top 25
2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History,2021 N.L. History | 2021 A.L. History | Year-by-Year History
