0,1,2,3,4
2020 National League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 National League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 National League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 National League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 National League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →
Statistic,Name,Team,#,Top 25
Complete Games,Trevor Bauer,Cincinnati Reds,2,Top 25
Complete Games,Aaron Nola,Philadelphia Phillies,2,Top 25
Complete Games,Adam Wainwright,St. Louis Cardinals,2,Top 25
ERA,Trevor Bauer,Cincinnati Reds,1.73,Top 25
Games,Tyler Rogers,San Francisco Giants,29,Top 25
Saves,Josh Hader,Milwaukee Brewers,13,Top 25
Shutouts,Trevor Bauer,Cincinnati Reds,2,Top 25
Strikeouts,Jacob deGrom,New York Mets,104,Top 25
Winning Percentage,Max Fried,Atlanta Braves,1.000,Top 25
Wins,Yu Darvish,Chicago Cubs,8,Top 25
Statistic,Name,Team,#,Top 25
2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History,2020 N.L. History | 2020 A.L. History | Year-by-Year History
