0,1,2,3,4,5,6
2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 National League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series
East,Team | Roster,W,L,T,WP,GB
East,Atlanta Braves,104,58,0,.642,-
East,Philadelphia Phillies,90,72,0,.556,14.0
East,Miami Marlins,84,78,0,.519,20.0
East,New York Mets,75,87,0,.463,29.0
East,Washington Nationals,71,91,0,.438,33.0
Central,Team | Roster,W,L,T,WP,GB
Central,Milwaukee Brewers,92,70,0,.568,-
Central,Chicago Cubs,83,79,0,.512,9.0
Central,Cincinnati Reds,82,80,0,.506,10.0
Central,Pittsburgh Pirates,76,86,0,.469,16.0
Central,St. Louis Cardinals,71,91,0,.438,21.0
West,Team | Roster,W,L,T,WP,GB
West,Los Angeles Dodgers,100,62,0,.617,-
West,Arizona Diamondbacks,84,78,0,.519,16.0
West,San Diego Padres,82,80,0,.506,18.0
West,San Francisco Giants,79,83,0,.488,21.0
West,Colorado Rockies,59,103,0,.364,41.0
N.L.,Team | Roster,W,L,T,WP,GB
2023 National League Standings,2023 National League Standings,2023 National League Standings,2023 National League Standings,2023 National League Standings,2023 National League Standings,2023 National League Standings
